Chromosome	Start	Final	Density
chr27	729001	730001	0.111607143
chr30	318001	319001	0.111607143
chr30	380001	381001	0.111607143
chr30	548001	549001	0.111607143
chr31	1306001	1307001	0.111607143
chr32	866001	867001	0.111607143
chr33	153001	154001	0.111607143
chr10	191001	192001	0.107142857
chr20	463001	464001	0.107142857
chr20	955001	956001	0.107142857
chr20	1096001	1097001	0.107142857
chr20	1098001	1099001	0.107142857
chr27	745001	746001	0.107142857
chr28	811001	812001	0.107142857
chr30	154001	155001	0.107142857
chr30	396001	397001	0.107142857
chr30	435001	436001	0.107142857
chr30	703001	704001	0.107142857
chr33	412001	413001	0.107142857
chr2	70001	71001	0.102678571
chr10	144001	145001	0.102678571
chr16	361001	362001	0.102678571
chr20	1097001	1098001	0.102678571
chr20	3051001	3052001	0.102678571
chr20	3342001	3343001	0.102678571
chr21	284001	285001	0.102678571
chr24	453001	454001	0.102678571
chr30	90001	91001	0.102678571
chr30	178001	179001	0.102678571
chr30	186001	187001	0.102678571
chr30	658001	659001	0.102678571
chr30	697001	698001	0.102678571
chr32	659001	660001	0.102678571
chr34	308001	309001	0.102678571
chr5	129001	130001	0.098214286
chr8	1585001	1586001	0.098214286
chr10	192001	193001	0.098214286
chr24	706001	707001	0.098214286
chr26	718001	719001	0.098214286
chr30	91001	92001	0.098214286
chr30	102001	103001	0.098214286
chr30	138001	139001	0.098214286
chr30	155001	156001	0.098214286
chr30	180001	181001	0.098214286
chr30	389001	390001	0.098214286
chr30	410001	411001	0.098214286
chr30	502001	503001	0.098214286
chr1	126001	127001	0.09375
chr3	60001	61001	0.09375
chr4	88001	89001	0.09375
chr4	116001	117001	0.09375
chr5	199001	200001	0.09375
chr8	1598001	1599001	0.09375
chr8	1602001	1603001	0.09375
chr17	3001	4001	0.09375
chr17	389001	390001	0.09375
chr17	393001	394001	0.09375
chr19	317001	318001	0.09375
chr19	381001	382001	0.09375
chr20	1095001	1096001	0.09375
chr22	305001	306001	0.09375
chr25	879001	880001	0.09375
chr30	172001	173001	0.09375
chr30	179001	180001	0.09375
chr30	547001	548001	0.09375
chr30	671001	672001	0.09375
chr30	789001	790001	0.09375
chr30	890001	891001	0.09375
chr32	825001	826001	0.09375
chr32	835001	836001	0.09375
chr34	1269001	1270001	0.09375
chr34	1904001	1905001	0.09375
chr5	73001	74001	0.089285714
chr7	151001	152001	0.089285714
chr7	382001	383001	0.089285714
chr12	171001	172001	0.089285714
chr12	211001	212001	0.089285714
chr12	383001	384001	0.089285714
chr16	458001	459001	0.089285714
chr17	1	1001	0.089285714
chr17	575001	576001	0.089285714
chr19	645001	646001	0.089285714
chr20	3001	4001	0.089285714
chr20	1105001	1106001	0.089285714
chr20	2762001	2763001	0.089285714
chr22	600001	601001	0.089285714
chr24	119001	120001	0.089285714
chr24	734001	735001	0.089285714
chr25	880001	881001	0.089285714
chr27	970001	971001	0.089285714
chr29	597001	598001	0.089285714
chr30	387001	388001	0.089285714
chr30	480001	481001	0.089285714
chr30	487001	488001	0.089285714
chr30	570001	571001	0.089285714
chr30	880001	881001	0.089285714
chr31	599001	600001	0.089285714
chr33	418001	419001	0.089285714
chr34	1173001	1174001	0.089285714
chr34	1342001	1343001	0.089285714
chr1	139001	140001	0.084821429
chr3	240001	241001	0.084821429
chr10	180001	181001	0.084821429
chr11	500001	501001	0.084821429
chr13	78001	79001	0.084821429
chr14	609001	610001	0.084821429
chr17	392001	393001	0.084821429
chr19	319001	320001	0.084821429
chr19	546001	547001	0.084821429
chr20	939001	940001	0.084821429
chr21	182001	183001	0.084821429
chr22	432001	433001	0.084821429
chr22	515001	516001	0.084821429
chr23	333001	334001	0.084821429
chr27	358001	359001	0.084821429
chr27	414001	415001	0.084821429
chr29	479001	480001	0.084821429
chr30	175001	176001	0.084821429
chr30	348001	349001	0.084821429
chr30	378001	379001	0.084821429
chr30	398001	399001	0.084821429
chr30	436001	437001	0.084821429
chr30	619001	620001	0.084821429
chr30	945001	946001	0.084821429
chr30	1044001	1045001	0.084821429
chr30	1094001	1095001	0.084821429
chr30	1178001	1179001	0.084821429
chr30	1379001	1380001	0.084821429
chr30	1392001	1393001	0.084821429
chr32	862001	863001	0.084821429
chr32	953001	954001	0.084821429
chr32	1091001	1092001	0.084821429
chr32	1187001	1188001	0.084821429
chr34	1549001	1550001	0.084821429
chr34	1945001	1946001	0.084821429
chr2	73001	74001	0.080357143
chr3	136001	137001	0.080357143
chr4	70001	71001	0.080357143
chr8	1597001	1598001	0.080357143
chr13	352001	353001	0.080357143
chr14	258001	259001	0.080357143
chr14	338001	339001	0.080357143
chr15	156001	157001	0.080357143
chr15	288001	289001	0.080357143
chr18	116001	117001	0.080357143
chr18	161001	162001	0.080357143
chr18	537001	538001	0.080357143
chr19	310001	311001	0.080357143
chr19	368001	369001	0.080357143
chr20	2001	3001	0.080357143
chr20	432001	433001	0.080357143
chr20	956001	957001	0.080357143
chr20	2429001	2430001	0.080357143
chr22	296001	297001	0.080357143
chr27	985001	986001	0.080357143
chr28	699001	700001	0.080357143
chr29	601001	602001	0.080357143
chr30	162001	163001	0.080357143
chr30	168001	169001	0.080357143
chr30	303001	304001	0.080357143
chr30	384001	385001	0.080357143
chr30	388001	389001	0.080357143
chr30	429001	430001	0.080357143
chr30	841001	842001	0.080357143
chr30	869001	870001	0.080357143
chr30	1175001	1176001	0.080357143
chr30	1315001	1316001	0.080357143
chr31	1161001	1162001	0.080357143
chr33	152001	153001	0.080357143
chr33	751001	752001	0.080357143
chr34	1045001	1046001	0.080357143
chr34	1873001	1874001	0.080357143
chr1	100001	101001	0.075892857
chr1	106001	107001	0.075892857
chr1	127001	128001	0.075892857
chr1	136001	137001	0.075892857
chr1	234001	235001	0.075892857
chr2	169001	170001	0.075892857
chr4	114001	115001	0.075892857
chr4	436001	437001	0.075892857
chr5	145001	146001	0.075892857
chr7	202001	203001	0.075892857
chr10	175001	176001	0.075892857
chr10	513001	514001	0.075892857
chr10	516001	517001	0.075892857
chr11	304001	305001	0.075892857
chr11	410001	411001	0.075892857
chr12	390001	391001	0.075892857
chr14	349001	350001	0.075892857
chr14	351001	352001	0.075892857
chr18	79001	80001	0.075892857
chr19	165001	166001	0.075892857
chr19	313001	314001	0.075892857
chr19	389001	390001	0.075892857
chr22	297001	298001	0.075892857
chr22	589001	590001	0.075892857
chr24	449001	450001	0.075892857
chr24	567001	568001	0.075892857
chr27	971001	972001	0.075892857
chr28	525001	526001	0.075892857
chr29	467001	468001	0.075892857
chr29	485001	486001	0.075892857
chr30	346001	347001	0.075892857
chr30	355001	356001	0.075892857
chr30	385001	386001	0.075892857
chr30	397001	398001	0.075892857
chr30	401001	402001	0.075892857
chr30	411001	412001	0.075892857
chr30	545001	546001	0.075892857
chr30	617001	618001	0.075892857
chr30	790001	791001	0.075892857
chr30	845001	846001	0.075892857
chr30	870001	871001	0.075892857
chr30	909001	910001	0.075892857
chr30	1160001	1161001	0.075892857
chr30	1398001	1399001	0.075892857
chr30	1436001	1437001	0.075892857
chr31	1001	2001	0.075892857
chr31	1125001	1126001	0.075892857
chr32	954001	955001	0.075892857
chr33	61001	62001	0.075892857
chr33	460001	461001	0.075892857
chr33	628001	629001	0.075892857
chr34	1270001	1271001	0.075892857
chr34	1883001	1884001	0.075892857
chr1	129001	130001	0.071428571
chr1	130001	131001	0.071428571
chr2	224001	225001	0.071428571
chr2	225001	226001	0.071428571
chr4	329001	330001	0.071428571
chr4	358001	359001	0.071428571
chr4	394001	395001	0.071428571
chr7	204001	205001	0.071428571
chr8	482001	483001	0.071428571
chr8	838001	839001	0.071428571
chr10	265001	266001	0.071428571
chr11	127001	128001	0.071428571
chr11	253001	254001	0.071428571
chr11	339001	340001	0.071428571
chr12	177001	178001	0.071428571
chr12	210001	211001	0.071428571
chr15	6001	7001	0.071428571
chr15	234001	235001	0.071428571
chr15	290001	291001	0.071428571
chr16	70001	71001	0.071428571
chr16	232001	233001	0.071428571
chr17	38001	39001	0.071428571
chr17	574001	575001	0.071428571
chr18	9001	10001	0.071428571
chr18	114001	115001	0.071428571
chr19	567001	568001	0.071428571
chr20	7001	8001	0.071428571
chr20	300001	301001	0.071428571
chr20	1255001	1256001	0.071428571
chr22	225001	226001	0.071428571
chr22	299001	300001	0.071428571
chr23	327001	328001	0.071428571
chr23	329001	330001	0.071428571
chr23	334001	335001	0.071428571
chr24	1001	2001	0.071428571
chr25	6001	7001	0.071428571
chr25	776001	777001	0.071428571
chr27	623001	624001	0.071428571
chr28	639001	640001	0.071428571
chr29	1197001	1198001	0.071428571
chr30	165001	166001	0.071428571
chr30	166001	167001	0.071428571
chr30	312001	313001	0.071428571
chr30	356001	357001	0.071428571
chr30	377001	378001	0.071428571
chr30	395001	396001	0.071428571
chr30	723001	724001	0.071428571
chr30	771001	772001	0.071428571
chr30	1215001	1216001	0.071428571
chr30	1249001	1250001	0.071428571
chr30	1389001	1390001	0.071428571
chr31	701001	702001	0.071428571
chr32	222001	223001	0.071428571
chr32	952001	953001	0.071428571
chr33	121001	122001	0.071428571
chr33	414001	415001	0.071428571
chr34	557001	558001	0.071428571
chr34	568001	569001	0.071428571
chr34	1183001	1184001	0.071428571
chr34	1188001	1189001	0.071428571
chr34	1497001	1498001	0.071428571
chr34	1554001	1555001	0.071428571
chr34	1944001	1945001	0.071428571
chr1	99001	100001	0.066964286
chr1	239001	240001	0.066964286
chr2	77001	78001	0.066964286
chr2	223001	224001	0.066964286
chr3	61001	62001	0.066964286
chr3	148001	149001	0.066964286
chr4	220001	221001	0.066964286
chr5	131001	132001	0.066964286
chr5	134001	135001	0.066964286
chr5	135001	136001	0.066964286
chr8	21001	22001	0.066964286
chr8	872001	873001	0.066964286
chr10	515001	516001	0.066964286
chr11	258001	259001	0.066964286
chr11	306001	307001	0.066964286
chr14	257001	258001	0.066964286
chr16	67001	68001	0.066964286
chr17	478001	479001	0.066964286
chr17	610001	611001	0.066964286
chr17	661001	662001	0.066964286
chr19	173001	174001	0.066964286
chr19	498001	499001	0.066964286
chr20	619001	620001	0.066964286
chr20	1191001	1192001	0.066964286
chr20	1220001	1221001	0.066964286
chr20	3339001	3340001	0.066964286
chr20	3341001	3342001	0.066964286
chr21	215001	216001	0.066964286
chr21	304001	305001	0.066964286
chr22	98001	99001	0.066964286
chr22	385001	386001	0.066964286
chr22	587001	588001	0.066964286
chr23	289001	290001	0.066964286
chr23	463001	464001	0.066964286
chr24	566001	567001	0.066964286
chr25	324001	325001	0.066964286
chr25	577001	578001	0.066964286
chr26	280001	281001	0.066964286
chr28	626001	627001	0.066964286
chr28	770001	771001	0.066964286
chr29	346001	347001	0.066964286
chr30	1	1001	0.066964286
chr30	170001	171001	0.066964286
chr30	314001	315001	0.066964286
chr30	340001	341001	0.066964286
chr30	342001	343001	0.066964286
chr30	343001	344001	0.066964286
chr30	353001	354001	0.066964286
chr30	391001	392001	0.066964286
chr30	424001	425001	0.066964286
chr30	437001	438001	0.066964286
chr30	485001	486001	0.066964286
chr30	489001	490001	0.066964286
chr30	499001	500001	0.066964286
chr30	578001	579001	0.066964286
chr30	651001	652001	0.066964286
chr30	669001	670001	0.066964286
chr30	670001	671001	0.066964286
chr30	677001	678001	0.066964286
chr30	910001	911001	0.066964286
chr30	952001	953001	0.066964286
chr30	1057001	1058001	0.066964286
chr30	1089001	1090001	0.066964286
chr30	1090001	1091001	0.066964286
chr30	1147001	1148001	0.066964286
chr30	1172001	1173001	0.066964286
chr30	1180001	1181001	0.066964286
chr30	1237001	1238001	0.066964286
chr30	1292001	1293001	0.066964286
chr30	1306001	1307001	0.066964286
chr30	1374001	1375001	0.066964286
chr30	1391001	1392001	0.066964286
chr30	1435001	1436001	0.066964286
chr30	1437001	1438001	0.066964286
chr31	1193001	1194001	0.066964286
chr31	1382001	1383001	0.066964286
chr32	654001	655001	0.066964286
chr32	826001	827001	0.066964286
chr32	842001	843001	0.066964286
chr32	864001	865001	0.066964286
chr32	867001	868001	0.066964286
chr33	60001	61001	0.066964286
chr33	114001	115001	0.066964286
chr33	354001	355001	0.066964286
chr33	407001	408001	0.066964286
chr33	654001	655001	0.066964286
chr33	678001	679001	0.066964286
chr34	396001	397001	0.066964286
chr34	537001	538001	0.066964286
chr34	934001	935001	0.066964286
chr34	1075001	1076001	0.066964286
chr34	1267001	1268001	0.066964286
chr34	1268001	1269001	0.066964286
chr34	1886001	1887001	0.066964286
chr34	1911001	1912001	0.066964286
chr1	70001	71001	0.0625
chr1	103001	104001	0.0625
chr1	200001	201001	0.0625
chr1	202001	203001	0.0625
chr2	61001	62001	0.0625
chr2	81001	82001	0.0625
chr2	139001	140001	0.0625
chr3	146001	147001	0.0625
chr3	238001	239001	0.0625
chr4	118001	119001	0.0625
chr5	71001	72001	0.0625
chr5	277001	278001	0.0625
chr7	262001	263001	0.0625
chr7	263001	264001	0.0625
chr7	370001	371001	0.0625
chr7	407001	408001	0.0625
chr7	451001	452001	0.0625
chr7	566001	567001	0.0625
chr8	707001	708001	0.0625
chr8	1501001	1502001	0.0625
chr8	1583001	1584001	0.0625
chr9	334001	335001	0.0625
chr10	75001	76001	0.0625
chr10	263001	264001	0.0625
chr11	308001	309001	0.0625
chr13	338001	339001	0.0625
chr14	162001	163001	0.0625
chr14	259001	260001	0.0625
chr14	261001	262001	0.0625
chr14	262001	263001	0.0625
chr14	281001	282001	0.0625
chr14	363001	364001	0.0625
chr15	255001	256001	0.0625
chr16	358001	359001	0.0625
chr16	409001	410001	0.0625
chr17	591001	592001	0.0625
chr18	15001	16001	0.0625
chr18	72001	73001	0.0625
chr18	216001	217001	0.0625
chr19	228001	229001	0.0625
chr20	273001	274001	0.0625
chr20	425001	426001	0.0625
chr20	1060001	1061001	0.0625
chr20	2636001	2637001	0.0625
chr20	3036001	3037001	0.0625
chr21	491001	492001	0.0625
chr22	222001	223001	0.0625
chr22	223001	224001	0.0625
chr22	325001	326001	0.0625
chr22	381001	382001	0.0625
chr22	423001	424001	0.0625
chr22	599001	600001	0.0625
chr22	618001	619001	0.0625
chr23	239001	240001	0.0625
chr23	545001	546001	0.0625
chr24	105001	106001	0.0625
chr24	226001	227001	0.0625
chr24	501001	502001	0.0625
chr24	560001	561001	0.0625
chr25	153001	154001	0.0625
chr26	700001	701001	0.0625
chr27	784001	785001	0.0625
chr28	559001	560001	0.0625
chr29	462001	463001	0.0625
chr29	484001	485001	0.0625
chr29	567001	568001	0.0625
chr29	602001	603001	0.0625
chr29	651001	652001	0.0625
chr29	1252001	1253001	0.0625
chr29	1257001	1258001	0.0625
chr30	99001	100001	0.0625
chr30	120001	121001	0.0625
chr30	184001	185001	0.0625
chr30	299001	300001	0.0625
chr30	339001	340001	0.0625
chr30	345001	346001	0.0625
chr30	349001	350001	0.0625
chr30	352001	353001	0.0625
chr30	421001	422001	0.0625
chr30	476001	477001	0.0625
chr30	585001	586001	0.0625
chr30	654001	655001	0.0625
chr30	770001	771001	0.0625
chr30	1035001	1036001	0.0625
chr30	1067001	1068001	0.0625
chr30	1076001	1077001	0.0625
chr30	1229001	1230001	0.0625
chr30	1375001	1376001	0.0625
chr30	1395001	1396001	0.0625
chr31	621001	622001	0.0625
chr31	630001	631001	0.0625
chr31	964001	965001	0.0625
chr31	1237001	1238001	0.0625
chr31	1418001	1419001	0.0625
chr32	547001	548001	0.0625
chr32	664001	665001	0.0625
chr32	824001	825001	0.0625
chr32	1341001	1342001	0.0625
chr33	614001	615001	0.0625
chr33	627001	628001	0.0625
chr33	1301001	1302001	0.0625
chr33	1302001	1303001	0.0625
chr34	465001	466001	0.0625
chr34	592001	593001	0.0625
chr34	608001	609001	0.0625
chr34	1085001	1086001	0.0625
chr34	1181001	1182001	0.0625
chr34	1192001	1193001	0.0625
chr34	1193001	1194001	0.0625
chr34	1217001	1218001	0.0625
chr34	1334001	1335001	0.0625
chr34	1337001	1338001	0.0625
chr34	1338001	1339001	0.0625
chr34	1550001	1551001	0.0625
chr34	1573001	1574001	0.0625
chr34	1867001	1868001	0.0625
chr34	1899001	1900001	0.0625
chr34	1903001	1904001	0.0625
chr34	1906001	1907001	0.0625
chr34	1912001	1913001	0.0625
chr34	1967001	1968001	0.0625
chr1	108001	109001	0.058035714
chr1	133001	134001	0.058035714
chr1	201001	202001	0.058035714
chr2	74001	75001	0.058035714
chr2	99001	100001	0.058035714
chr3	242001	243001	0.058035714
chr4	69001	70001	0.058035714
chr4	92001	93001	0.058035714
chr4	101001	102001	0.058035714
chr4	115001	116001	0.058035714
chr4	125001	126001	0.058035714
chr4	168001	169001	0.058035714
chr4	322001	323001	0.058035714
chr5	130001	131001	0.058035714
chr5	140001	141001	0.058035714
chr5	162001	163001	0.058035714
chr7	150001	151001	0.058035714
chr7	299001	300001	0.058035714
chr7	337001	338001	0.058035714
chr7	392001	393001	0.058035714
chr8	918001	919001	0.058035714
chr8	1017001	1018001	0.058035714
chr8	1508001	1509001	0.058035714
chr8	1606001	1607001	0.058035714
chr9	13001	14001	0.058035714
chr9	357001	358001	0.058035714
chr10	76001	77001	0.058035714
chr11	71001	72001	0.058035714
chr11	247001	248001	0.058035714
chr11	493001	494001	0.058035714
chr12	386001	387001	0.058035714
chr12	461001	462001	0.058035714
chr14	264001	265001	0.058035714
chr14	348001	349001	0.058035714
chr15	73001	74001	0.058035714
chr15	209001	210001	0.058035714
chr15	220001	221001	0.058035714
chr15	248001	249001	0.058035714
chr15	252001	253001	0.058035714
chr15	370001	371001	0.058035714
chr16	62001	63001	0.058035714
chr16	64001	65001	0.058035714
chr16	393001	394001	0.058035714
chr16	417001	418001	0.058035714
chr17	589001	590001	0.058035714
chr17	664001	665001	0.058035714
chr18	16001	17001	0.058035714
chr18	95001	96001	0.058035714
chr18	182001	183001	0.058035714
chr18	284001	285001	0.058035714
chr19	177001	178001	0.058035714
chr19	406001	407001	0.058035714
chr19	408001	409001	0.058035714
chr19	590001	591001	0.058035714
chr20	6001	7001	0.058035714
chr20	791001	792001	0.058035714
chr20	957001	958001	0.058035714
chr20	1150001	1151001	0.058035714
chr20	1161001	1162001	0.058035714
chr20	1749001	1750001	0.058035714
chr20	3340001	3341001	0.058035714
chr21	24001	25001	0.058035714
chr22	389001	390001	0.058035714
chr23	295001	296001	0.058035714
chr23	296001	297001	0.058035714
chr23	316001	317001	0.058035714
chr23	322001	323001	0.058035714
chr23	578001	579001	0.058035714
chr24	393001	394001	0.058035714
chr24	503001	504001	0.058035714
chr24	572001	573001	0.058035714
chr24	627001	628001	0.058035714
chr24	705001	706001	0.058035714
chr25	155001	156001	0.058035714
chr25	282001	283001	0.058035714
chr25	620001	621001	0.058035714
chr25	692001	693001	0.058035714
chr26	281001	282001	0.058035714
chr26	474001	475001	0.058035714
chr26	767001	768001	0.058035714
chr27	90001	91001	0.058035714
chr27	311001	312001	0.058035714
chr27	559001	560001	0.058035714
chr27	723001	724001	0.058035714
chr27	972001	973001	0.058035714
chr28	270001	271001	0.058035714
chr28	272001	273001	0.058035714
chr28	273001	274001	0.058035714
chr28	603001	604001	0.058035714
chr28	658001	659001	0.058035714
chr29	163001	164001	0.058035714
chr29	398001	399001	0.058035714
chr29	409001	410001	0.058035714
chr30	85001	86001	0.058035714
chr30	103001	104001	0.058035714
chr30	128001	129001	0.058035714
chr30	177001	178001	0.058035714
chr30	183001	184001	0.058035714
chr30	302001	303001	0.058035714
chr30	309001	310001	0.058035714
chr30	310001	311001	0.058035714
chr30	336001	337001	0.058035714
chr30	373001	374001	0.058035714
chr30	390001	391001	0.058035714
chr30	408001	409001	0.058035714
chr30	426001	427001	0.058035714
chr30	500001	501001	0.058035714
chr30	522001	523001	0.058035714
chr30	546001	547001	0.058035714
chr30	653001	654001	0.058035714
chr30	659001	660001	0.058035714
chr30	663001	664001	0.058035714
chr30	667001	668001	0.058035714
chr30	674001	675001	0.058035714
chr30	676001	677001	0.058035714
chr30	692001	693001	0.058035714
chr30	698001	699001	0.058035714
chr30	716001	717001	0.058035714
chr30	809001	810001	0.058035714
chr30	840001	841001	0.058035714
chr30	871001	872001	0.058035714
chr30	969001	970001	0.058035714
chr30	1049001	1050001	0.058035714
chr30	1101001	1102001	0.058035714
chr30	1211001	1212001	0.058035714
chr30	1252001	1253001	0.058035714
chr30	1254001	1255001	0.058035714
chr30	1312001	1313001	0.058035714
chr30	1386001	1387001	0.058035714
chr30	1390001	1391001	0.058035714
chr30	1393001	1394001	0.058035714
chr30	1428001	1429001	0.058035714
chr31	282001	283001	0.058035714
chr31	616001	617001	0.058035714
chr31	625001	626001	0.058035714
chr31	703001	704001	0.058035714
chr31	1040001	1041001	0.058035714
chr31	1162001	1163001	0.058035714
chr31	1257001	1258001	0.058035714
chr31	1273001	1274001	0.058035714
chr31	1302001	1303001	0.058035714
chr31	1304001	1305001	0.058035714
chr32	548001	549001	0.058035714
chr32	665001	666001	0.058035714
chr32	829001	830001	0.058035714
chr32	865001	866001	0.058035714
chr32	869001	870001	0.058035714
chr32	960001	961001	0.058035714
chr33	419001	420001	0.058035714
chr33	463001	464001	0.058035714
chr33	657001	658001	0.058035714
chr33	664001	665001	0.058035714
chr33	691001	692001	0.058035714
chr33	701001	702001	0.058035714
chr33	1089001	1090001	0.058035714
chr34	310001	311001	0.058035714
chr34	559001	560001	0.058035714
chr34	565001	566001	0.058035714
chr34	577001	578001	0.058035714
chr34	579001	580001	0.058035714
chr34	594001	595001	0.058035714
chr34	1118001	1119001	0.058035714
chr34	1271001	1272001	0.058035714
chr34	1563001	1564001	0.058035714
chr34	1865001	1866001	0.058035714
chr34	1900001	1901001	0.058035714
chr34	1901001	1902001	0.058035714
chr34	1936001	1937001	0.058035714
chr1	63001	64001	0.053571429
chr1	68001	69001	0.053571429
chr1	104001	105001	0.053571429
chr1	119001	120001	0.053571429
chr1	194001	195001	0.053571429
chr2	6001	7001	0.053571429
chr2	132001	133001	0.053571429
chr2	134001	135001	0.053571429
chr3	59001	60001	0.053571429
chr3	62001	63001	0.053571429
chr3	102001	103001	0.053571429
chr3	143001	144001	0.053571429
chr3	145001	146001	0.053571429
chr3	147001	148001	0.053571429
chr3	241001	242001	0.053571429
chr4	20001	21001	0.053571429
chr4	85001	86001	0.053571429
chr4	90001	91001	0.053571429
chr4	131001	132001	0.053571429
chr4	149001	150001	0.053571429
chr4	219001	220001	0.053571429
chr4	327001	328001	0.053571429
chr4	330001	331001	0.053571429
chr5	76001	77001	0.053571429
chr5	126001	127001	0.053571429
chr5	192001	193001	0.053571429
chr5	212001	213001	0.053571429
chr5	244001	245001	0.053571429
chr5	354001	355001	0.053571429
chr5	385001	386001	0.053571429
chr7	140001	141001	0.053571429
chr7	245001	246001	0.053571429
chr7	393001	394001	0.053571429
chr8	424001	425001	0.053571429
chr8	523001	524001	0.053571429
chr8	633001	634001	0.053571429
chr8	885001	886001	0.053571429
chr8	1210001	1211001	0.053571429
chr8	1242001	1243001	0.053571429
chr8	1449001	1450001	0.053571429
chr8	1494001	1495001	0.053571429
chr8	1584001	1585001	0.053571429
chr8	1589001	1590001	0.053571429
chr9	14001	15001	0.053571429
chr9	25001	26001	0.053571429
chr9	67001	68001	0.053571429
chr9	250001	251001	0.053571429
chr9	386001	387001	0.053571429
chr9	497001	498001	0.053571429
chr11	1001	2001	0.053571429
chr11	100001	101001	0.053571429
chr11	409001	410001	0.053571429
chr12	59001	60001	0.053571429
chr13	121001	122001	0.053571429
chr13	401001	402001	0.053571429
chr13	404001	405001	0.053571429
chr13	527001	528001	0.053571429
chr14	470001	471001	0.053571429
chr15	219001	220001	0.053571429
chr15	221001	222001	0.053571429
chr15	233001	234001	0.053571429
