G1Chromosome	G1Start	G1Final	G2Chromosome	G2Start	G2Final
chr2	239326	239326	chr6	136003	136003
chr2	239326	239326	chr6	139459	139459
chr2	239326	239326	chr6	198650	198650
chr2	238678	238678	chr11	446978	446978
chr2	238678	238678	chr11	288430	288430
chr2	238678	238678	chr11	462243	462243
chr2	238678	238678	chr11	375665	375665
chr2	238678	238678	chr11	377527	377527
chr2	238678	238678	chr11	377542	377542
chr2	239006	239006	chr11	446978	446978
chr2	239006	239006	chr11	462243	462243
chr2	239006	239006	chr11	375665	375665
chr2	239006	239006	chr11	377527	377527
chr2	239326	239326	chr11	446978	446978
chr2	239326	239326	chr11	377527	377527
chr2	239326	239326	chr11	462243	462243
chr2	238678	238678	chr15	1798	1798
chr2	238678	238678	chr15	382877	382877
chr2	238678	238678	chr15	458323	458323
chr2	238678	238678	chr15	140587	140587
chr2	238678	238678	chr15	394406	394406
chr2	239006	239006	chr15	1798	1798
chr2	239006	239006	chr15	382877	382877
chr2	239006	239006	chr15	458323	458323
chr2	239006	239006	chr15	140587	140587
chr2	239006	239006	chr15	394406	394406
chr2	239326	239326	chr15	1798	1798
chr2	239326	239326	chr15	382877	382877
chr2	239326	239326	chr15	458323	458323
chr2	239326	239326	chr15	394406	394406
chr2	239657	239657	chr15	1798	1798
chr2	238678	238678	chr16	449657	449657
chr2	238678	238678	chr16	157164	157164
chr2	239006	239006	chr16	157164	157164
chr2	239006	239006	chr16	449657	449657
chr2	239326	239326	chr16	157164	157164
chr2	239326	239326	chr16	449657	449657
chr2	238678	238678	chr18	576049	576049
chr2	238678	238678	chr18	240690	240690
chr2	238678	238678	chr18	246908	246908
chr2	239006	239006	chr18	576049	576049
chr2	239006	239006	chr18	240690	240690
chr2	239006	239006	chr18	246908	246908
chr2	239326	239326	chr18	576049	576049
chr2	239326	239326	chr18	240690	240690
chr2	239326	239326	chr18	246908	246908
chr2	239657	239657	chr18	576049	576049
chr2	239006	239006	chr19	6292	6292
chr2	239006	239006	chr19	375365	375365
chr2	239006	239006	chr19	160424	160424
chr2	238678	238678	chr19	375365	375365
chr2	238678	238678	chr19	6292	6292
chr2	238678	238678	chr19	160424	160424
chr2	238678	238678	chr19	8466	8466
chr2	239326	239326	chr19	375365	375365
chr2	239326	239326	chr19	6292	6292
chr2	239326	239326	chr19	160424	160424
chr2	238678	238678	chr21	369285	369285
chr2	238678	238678	chr21	370262	370262
chr2	238678	238678	chr21	218887	218887
chr2	238678	238678	chr21	419463	419463
chr2	238678	238678	chr21	421240	421240
chr2	238678	238678	chr21	422791	422791
chr2	238678	238678	chr21	609038	609038
chr2	238678	238678	chr21	698846	698846
chr2	238678	238678	chr21	709949	709949
chr2	239006	239006	chr21	369285	369285
chr2	239006	239006	chr21	370262	370262
chr2	239006	239006	chr21	698846	698846
chr2	239006	239006	chr21	218887	218887
chr2	239006	239006	chr21	419463	419463
chr2	239006	239006	chr21	421240	421240
chr2	239006	239006	chr21	422791	422791
chr2	239006	239006	chr21	609038	609038
chr2	239006	239006	chr21	709949	709949
chr2	239326	239326	chr21	369285	369285
chr2	239326	239326	chr21	370262	370262
chr2	239326	239326	chr21	218887	218887
chr2	239326	239326	chr21	419463	419463
chr2	239326	239326	chr21	421240	421240
chr2	239326	239326	chr21	609038	609038
chr2	239326	239326	chr21	698846	698846
chr2	239326	239326	chr21	709949	709949
chr2	238678	238678	chr22	612639	612639
chr2	238678	238678	chr22	622439	622439
chr2	238678	238678	chr22	9770	9770
chr2	238678	238678	chr22	12561	12561
chr2	238678	238678	chr22	179501	179501
chr2	239006	239006	chr22	12561	12561
chr2	239326	239326	chr22	12561	12561
chr2	238678	238678	chr25	257209	257209
chr2	239326	239326	chr25	464503	464503
chr2	238678	238678	chr26	875466	875466
chr2	238678	238678	chr26	876979	876979
chr2	238678	238678	chr26	40851	40851
chr2	238678	238678	chr26	42568	42568
chr2	238678	238678	chr26	244270	244270
chr2	238678	238678	chr26	569937	569937
chr2	238678	238678	chr26	843637	843637
chr2	239326	239326	chr26	875466	875466
chr2	239326	239326	chr26	876979	876979
chr2	239326	239326	chr26	244270	244270
chr2	239326	239326	chr26	843637	843637
chr2	239006	239006	chr26	875466	875466
chr2	239006	239006	chr26	876979	876979
chr2	239006	239006	chr26	569937	569937
chr2	239006	239006	chr26	843637	843637
chr2	238678	238678	chr27	32255	32255
chr2	238678	238678	chr27	482777	482777
chr2	238678	238678	chr27	501942	501942
chr2	239006	239006	chr27	32255	32255
chr2	239006	239006	chr27	482777	482777
chr2	239326	239326	chr27	32255	32255
chr2	239657	239657	chr27	32255	32255
chr2	239006	239006	chr28	844276	844276
chr2	239006	239006	chr28	340101	340101
chr2	239006	239006	chr28	947423	947423
chr2	239006	239006	chr28	984722	984722
chr2	239006	239006	chr28	183521	183521
chr2	239006	239006	chr28	983182	983182
chr2	239006	239006	chr28	1037516	1037516
chr2	239326	239326	chr28	844276	844276
chr2	239326	239326	chr28	340101	340101
chr2	239326	239326	chr28	947423	947423
chr2	239326	239326	chr28	984722	984722
chr2	239326	239326	chr28	983182	983182
chr2	239326	239326	chr28	1037516	1037516
chr2	238678	238678	chr28	340101	340101
chr2	238678	238678	chr28	359086	359086
chr2	238678	238678	chr28	360898	360898
chr2	238678	238678	chr28	365376	365376
chr2	238678	238678	chr28	844276	844276
chr2	238678	238678	chr28	947423	947423
chr2	238678	238678	chr28	984722	984722
chr2	238678	238678	chr28	1037516	1037516
chr2	238678	238678	chr28	1050665	1050665
chr2	238678	238678	chr28	1044815	1044815
chr2	238678	238678	chr28	983182	983182
chr2	238678	238678	chr29	218850	218850
chr2	238678	238678	chr29	1296469	1296469
chr2	238678	238678	chr29	269815	269815
chr2	238678	238678	chr29	1147901	1147901
chr2	238678	238678	chr29	1189603	1189603
chr2	238678	238678	chr29	219407	219407
chr2	238678	238678	chr29	1279748	1279748
chr2	238678	238678	chr29	1317222	1317222
chr2	239006	239006	chr29	1296469	1296469
chr2	239006	239006	chr29	218850	218850
chr2	239006	239006	chr29	219407	219407
chr2	239006	239006	chr29	1147901	1147901
chr2	239006	239006	chr29	1189603	1189603
chr2	239326	239326	chr29	218850	218850
chr2	239326	239326	chr29	1296469	1296469
chr2	239326	239326	chr29	1147901	1147901
chr2	239326	239326	chr29	1189603	1189603
chr2	239326	239326	chr29	219407	219407
chr2	238678	238678	chr30	342796	342796
chr2	238678	238678	chr30	967463	967463
chr2	238678	238678	chr30	908931	908931
chr2	239006	239006	chr30	342796	342796
chr2	239326	239326	chr30	342796	342796
chr2	239657	239657	chr30	342796	342796
chr2	238678	238678	chr31	164379	164379
chr2	238678	238678	chr31	1051980	1051980
chr2	238678	238678	chr31	325759	325759
chr2	238678	238678	chr31	168811	168811
chr2	238678	238678	chr31	1058274	1058274
chr2	239006	239006	chr31	1051980	1051980
chr2	239006	239006	chr31	164379	164379
chr2	239006	239006	chr31	168811	168811
chr2	239006	239006	chr31	325759	325759
chr2	239006	239006	chr31	1058274	1058274
chr2	239326	239326	chr31	164379	164379
chr2	239326	239326	chr31	1051980	1051980
chr2	239326	239326	chr31	168811	168811
chr2	239326	239326	chr31	325759	325759
chr2	239326	239326	chr31	1058274	1058274
chr2	238678	238678	chr32	281187	281187
chr2	238678	238678	chr32	1185893	1185893
chr2	238678	238678	chr32	313887	313887
chr2	238678	238678	chr32	1395491	1395491
chr2	238678	238678	chr32	239397	239397
chr2	238678	238678	chr32	1373045	1373045
chr2	239006	239006	chr32	1185893	1185893
chr2	239006	239006	chr32	1395491	1395491
chr2	239006	239006	chr32	239397	239397
chr2	239006	239006	chr32	313887	313887
chr2	239006	239006	chr32	1373045	1373045
chr2	239326	239326	chr32	1185893	1185893
chr2	239326	239326	chr32	1373045	1373045
chr2	239326	239326	chr32	239397	239397
chr2	239326	239326	chr32	313887	313887
chr2	239326	239326	chr32	1395491	1395491
chr2	239657	239657	chr32	1185893	1185893
chr2	238678	238678	chr33	1119878	1119878
chr2	238678	238678	chr33	905495	905495
chr2	238678	238678	chr33	1387738	1387738
chr2	238678	238678	chr33	362207	362207
chr2	239006	239006	chr33	905495	905495
chr2	239006	239006	chr33	1387738	1387738
chr2	239006	239006	chr33	362207	362207
chr2	239006	239006	chr33	1122000	1122000
chr2	239326	239326	chr33	905495	905495
chr2	239326	239326	chr33	362207	362207
chr2	239326	239326	chr33	1387738	1387738
chr2	238678	238678	chr34	55204	55204
chr2	238678	238678	chr34	211835	211835
chr2	238678	238678	chr34	687890	687890
chr2	238678	238678	chr34	689430	689430
chr2	238678	238678	chr34	693086	693086
chr2	238678	238678	chr34	720966	720966
chr2	238678	238678	chr34	1257849	1257849
chr2	238678	238678	chr34	1256290	1256290
chr2	238678	238678	chr34	1414723	1414723
chr2	238678	238678	chr34	1420702	1420702
chr2	238678	238678	chr34	630329	630329
chr2	238678	238678	chr34	694723	694723
chr2	238678	238678	chr34	744384	744384
chr2	238678	238678	chr34	1419697	1419697
chr2	238678	238678	chr34	1422085	1422085
chr2	239006	239006	chr34	55204	55204
chr2	239006	239006	chr34	211835	211835
chr2	239006	239006	chr34	693086	693086
chr2	239006	239006	chr34	1257849	1257849
chr2	239006	239006	chr34	1420702	1420702
chr2	239006	239006	chr34	1256290	1256290
chr2	239006	239006	chr34	630329	630329
chr2	239006	239006	chr34	687890	687890
chr2	239006	239006	chr34	694723	694723
chr2	239006	239006	chr34	720966	720966
chr2	239006	239006	chr34	744384	744384
chr2	239006	239006	chr34	1414723	1414723
chr2	239006	239006	chr34	1419697	1419697
chr2	239326	239326	chr34	55204	55204
chr2	239326	239326	chr34	211835	211835
chr2	239326	239326	chr34	693086	693086
chr2	239326	239326	chr34	720966	720966
chr2	239326	239326	chr34	1257849	1257849
chr2	239326	239326	chr34	1256290	1256290
chr2	239326	239326	chr34	1420702	1420702
chr2	239326	239326	chr34	630329	630329
chr2	239326	239326	chr34	694723	694723
chr2	239326	239326	chr34	744384	744384
chr2	239326	239326	chr34	1414723	1414723
chr2	239326	239326	chr34	1419697	1419697
chr2	239657	239657	chr34	55204	55204
chr2	239657	239657	chr34	693086	693086
chr2	239657	239657	chr34	1414723	1414723
chr2	238678	238678	chr23	479735	479735
chr2	238678	238678	chr23	483841	483841
chr2	238678	238678	chr23	238716	238716
chr2	239006	239006	chr23	238716	238716
chr2	239326	239326	chr23	238716	238716
chr2	238678	238678	chr4	170115	170115
chr2	238678	238678	chr4	283705	283705
chr2	238678	238678	chr4	341693	341693
chr2	239006	239006	chr4	170115	170115
chr2	239006	239006	chr4	283705	283705
chr2	239326	239326	chr4	170115	170115
chr2	239326	239326	chr4	283705	283705
chr2	239326	239326	chr7	555982	555982
chr2	239326	239326	chr7	226744	226744
chr2	239326	239326	chr7	494379	494379
chr2	238678	238678	chr7	226744	226744
chr2	238678	238678	chr7	298519	298519
chr2	238678	238678	chr7	494379	494379
chr2	239006	239006	chr7	226744	226744
chr2	239006	239006	chr7	298519	298519
chr2	239006	239006	chr7	494379	494379
chr2	238678	238678	chr9	492802	492802
chr2	239006	239006	chr9	492802	492802
chr2	239326	239326	chr9	492802	492802
chr2	238678	238678	chr10	19728	19728
chr2	239006	239006	chr10	19728	19728
chr2	239326	239326	chr10	19728	19728
chr2	238678	238678	chr14	231508	231508
chr2	238678	238678	chr14	526591	526591
chr2	239006	239006	chr14	231508	231508
chr2	239006	239006	chr14	526591	526591
chr2	239326	239326	chr14	231508	231508
chr2	239326	239326	chr14	526591	526591
chr2	238678	238678	chr17	409932	409932
chr2	239006	239006	chr17	409932	409932
chr2	239326	239326	chr17	409932	409932
chr2	239006	239006	chr24	806356	806356
chr2	239006	239006	chr24	7894	7894
chr2	239006	239006	chr24	758042	758042
chr2	239006	239006	chr24	764204	764204
chr2	239006	239006	chr24	805438	805438
chr2	239006	239006	chr24	807410	807410
chr2	238678	238678	chr24	7894	7894
chr2	238678	238678	chr24	764192	764192
chr2	238678	238678	chr24	764204	764204
chr2	238678	238678	chr24	765766	765766
chr2	238678	238678	chr24	805438	805438
chr2	238678	238678	chr24	806356	806356
chr2	238678	238678	chr24	807410	807410
chr2	239326	239326	chr24	7894	7894
chr2	239326	239326	chr24	764204	764204
chr2	239326	239326	chr24	805438	805438
chr2	239326	239326	chr24	806356	806356
chr2	239326	239326	chr24	807410	807410
chr2	239006	239006	chr3	63252	63252
chr8	1459538	1459538	chr30	159336	159336
chr8	1457108	1457108	chr30	139912	139912
chr8	1457499	1457499	chr30	147806	147806
chr8	1486532	1486532	chr30	153622	153622
chr8	1486538	1486538	chr30	153626	153626
chr8	1459542	1459542	chr30	159332	159332
chr8	1486534	1486534	chr30	153620	153620
chr8	1472708	1472708	chr30	158946	158946
chr8	1466355	1466355	chr30	159423	159423
chr8	1459751	1459751	chr30	153414	153414
chr8	1486535	1486535	chr30	153619	153619
chr8	1486540	1486540	chr30	153624	153624
chr8	1486530	1486530	chr30	153624	153624
chr8	1451661	1451661	chr8	1472325	1472325
chr8	1459751	1459751	chr8	1486743	1486743
chr9	357928	357928	chr18	226934	226934
chr10	399007	399007	chr10	399073	399073
chr10	145438	145438	chr10	151778	151778
chr10	399005	399005	chr10	399075	399075
chr10	489335	489335	chr10	501958	501958
chr10	399004	399004	chr10	399076	399076
chr10	181209	181209	chr10	187348	187348
chr10	489337	489337	chr10	501960	501960
chr11	376306	376306	chr11	376336	376336
chr11	246901	246901	chr11	252517	252517
chr13	157723	157723	chr13	157794	157794
chr13	157681	157681	chr15	61542	61542
chr13	158453	158453	chr23	52298	52298
chr15	140983	140983	chr15	142087	142087
chr15	140985	140985	chr15	142089	142089
chr15	140984	140984	chr15	142088	142088
chr20	465450	465450	chr33	680268	680268
chr20	465488	465488	chr33	680251	680251
chr20	465449	465449	chr33	680269	680269
chr20	465356	465356	chr33	684364	684364
chr20	465492	465492	chr33	680247	680247
chr20	465350	465350	chr33	684370	684370
chr20	465404	465404	chr33	684307	684307
chr20	951830	951830	chr20	1011497	1011497
chr20	3131754	3131754	chr20	3167921	3167921
chr27	560266	560266	chr27	560325	560325
chr27	749870	749870	chr27	752244	752244
chr27	749692	749692	chr27	752067	752067
chr27	749865	749865	chr27	752239	752239
chr27	976990	976990	chr27	984656	984656
chr27	976990	976990	chr27	992148	992148
chr27	482270	482270	chr27	501429	501429
chr27	749873	749873	chr27	752247	752247
chr27	982490	982490	chr27	990952	990952
chr27	983205	983205	chr27	983220	983220
chr27	983304	983304	chr27	983345	983345
chr27	983583	983583	chr27	983608	983608
chr27	983624	983624	chr27	983668	983668
chr27	983625	983625	chr27	983669	983669
chr27	983702	983702	chr27	983746	983746
chr27	984087	984087	chr27	984124	984124
chr27	984195	984195	chr27	984214	984214
chr27	984216	984216	chr27	984241	984241
chr27	984323	984323	chr27	984356	984356
chr27	984359	984359	chr27	984383	984383
chr27	991813	991813	chr27	991838	991838
chr27	991815	991815	chr27	991838	991838
chr27	257177	257177	chr30	93098	93098
chr21	421816	421816	chr21	423339	423339
chr21	421819	421819	chr21	423342	423342
chr21	421795	421795	chr21	423318	423318
chr21	421814	421814	chr21	423337	423337
chr33	680241	680241	chr33	684212	684212
chr33	237636	237636	chr33	237690	237690
chr33	664018	664018	chr33	664087	664087
chr33	989569	989569	chr33	989712	989712
chr33	1085560	1085560	chr33	1091540	1091540
chr33	989562	989562	chr33	989705	989705
chr16	148442	148442	chr16	162071	162071
chr16	156558	156558	chr16	156580	156580
chr26	97825	97825	chr30	342656	342656
chr32	1186772	1186772	chr32	1186847	1186847
chr32	111030	111030	chr32	118184	118184
chr19	375405	375405	chr19	375500	375500
chr6	10960	10960	chr21	482315	482315
chr6	10977	10977	chr32	322845	322845
chr23	268514	268514	chr23	271156	271156
chr28	844521	844521	chr28	844588	844588
chr28	1044748	1044748	chr28	1050595	1050595
chr28	844527	844527	chr28	844594	844594
chr28	719187	719187	chr31	1040853	1040853
chr30	452670	452670	chr30	452709	452709
chr1	100204	100204	chr21	129049	129049
chr7	227684	227684	chr8	638085	638085
chr31	259126	259126	chr31	259139	259139
chr31	259569	259569	chr31	259581	259581
chr34	110573	110573	chr34	110604	110604
