Chromosome	Start	Final	Expression
chr2	135064	138211	6.901989454
chr2	140019	141164	5.783601056
chr2	142626	144215	5.869401145
chr2	145303	146667	5.694553166
chr2	147798	148472	5.46057596
chr2	149808	152906	4.491198876
chr2	155345	158377	5.226283693
chr2	160636	161748	5.085356692
chr2	163851	164519	4.810752016
chr2	166879	167712	7.672349906
chr2	171679	172554	7.513133048
chr2	173900	183898	6.814958569
chr2	185139	185744	3.037701833
chr2	186555	189956	4.792381718
chr2	190495	193248	4.310013064
chr2	194524	195036	4.486956364
chr2	196542	202283	6.434604649
chr2	211173	213764	7.188508351
chr2	215154	216638	7.409798087
chr2	218868	219359	7.138592624
chr2	220339	222882	5.737581639
chr2	226793	230686	7.539047926
chr2	297770	298084	0
chr3	1	727	0
chr3	6728	7531	8.270626256
chr3	8266	9489	6.894379542
chr3	10397	11542	6.384810077
chr3	13204	13623	6.194148846
chr3	14784	15956	5.227889109
chr3	16729	19230	6.905962263
chr3	19685	21838	6.969767229
chr3	23011	24714	4.196122595
chr3	25915	26676	7.281688928
chr3	27992	30658	3.847719202
chr3	31402	34179	4.636708152
chr3	35133	35687	3.760661213
chr3	36609	37028	4.029635351
chr3	38113	39048	4.562361238
chr3	39919	42093	6.006510929
chr3	43041	43622	4.358340068
chr3	44606	46153	2.764885175
chr3	47068	47700	5.911950155
chr3	49378	51060	6.022922417
chr3	52712	53851	5.056403889
chr3	54956	55897	4.163083208
chr3	56872	58989	7.207448014
chr3	62308	62772	3.786218916
chr3	63326	63577	9.629783367
chr3	64818	65711	3.933391201
chr3	67152	71270	6.364317944
chr3	72156	75068	4.860444043
chr3	75112	75317	4.308073431
chr3	75534	76319	4.308073431
chr3	76406	76523	4.308073431
chr3	79998	85305	6.513244605
chr3	85362	85414	6.513244605
chr3	85476	86183	6.513244605
chr3	87120	90152	6.936960863
chr3	91253	93148	3.981087022
chr3	93931	94959	5.313072579
chr3	95939	100294	6.033960493
chr3	103285	106367	6.821267279
chr3	106616	106679	6.821267279
chr3	106861	108051	6.821267279
chr3	111407	112342	5.621231816
chr3	115031	116149	7.864609185
chr3	120546	121430	8.182991113
chr3	124662	126635	6.790547561
chr3	129135	131442	6.427966823
chr3	131520	134212	6.427966823
chr3	135327	135659	8.173303676
chr3	136584	136916	7.812888876
chr3	137764	142818	6.002909018
chr3	148787	151617	6.243685057
chr3	153900	154188	6.243685057
chr3	155598	158498	5.164312881
chr3	159977	163003	5.277555038
chr3	164784	167744	6.591729798
chr3	168744	170465	3.891522491
chr3	173292	176924	6.545102464
chr3	177112	177246	6.545102464
chr3	177270	177819	6.545102464
chr3	177885	178171	6.545102464
chr3	178203	178289	6.545102464
chr3	178403	178516	6.545102464
chr3	178548	179587	6.545102464
chr3	179655	179712	6.545102464
chr3	179754	180842	6.545102464
chr3	181522	184068	6.358791639
chr3	185771	192241	6.042534128
chr3	193570	194760	5.220495857
chr3	196290	200147	6.062824221
chr3	201733	203856	6.147656973
chr3	206231	207229	4.917779062
chr3	207643	208179	4.853051963
chr3	209686	211401	5.603431624
chr3	211514	213895	5.603431624
chr3	214530	215747	5.31288414
chr3	217478	218527	4.895635708
chr3	219610	221634	3.561098668
chr3	223117	224085	5.072163822
chr3	224820	226622	5.50718216
chr3	228772	231450	5.923848218
chr3	233129	235585	6.275327733
chr3	236379	238085	3.235645053
chr3	247787	248647	3.342894497
chr3	2402	5413	5.40458801
chr3	250769	257404	6.560992542
chr3	258160	266748	6.301564035
chr3	267627	268373	3.591925389
chr3	268831	271872	4.567220869
chr3	273384	274595	3.767466999
chr3	276278	278386	4.851067079
chr3	279202	279546	3.498175918
chr3	279630	280175	3.498175918
chr3	280918	282540	4.561737372
chr3	283218	292370	7.174755228
chr3	294005	295372	4.454853933
chr3	296200	303540	6.688613459
chr3	304772	308011	3.459603864
chr3	308651	317350	4.908401851
chr3	318381	320180	5.062507721
chr3	320874	321899	2.64928473
chr3	323195	326122	5.389653829
chr3	326966	333901	6.269859994
chr3	334691	339301	4.698685281
chr3	340071	340614	4.272768468
chr3	340662	344167	4.272768468
chr3	345131	351166	5.814005474
chr3	351931	354111	5.357607623
chr3	356323	357441	5.634198032
chr3	358598	359395	5.129134664
chr3	360061	360711	6.028188201
chr3	361387	363480	5.401587311
chr3	364085	365071	5.49946586
chr3	366461	368368	6.443783677
chr3	369021	369335	7.421835038
chr3	369839	370816	6.651167675
chr3	371519	372760	8.389671949
chr4	4328	7332	8.738709417
chr4	8370	10212	8.738709417
chr4	12218	14464	7.492911086
chr4	16193	17512	7.726547513
chr4	21488	21991	4.597784
chr4	23076	24671	7.091948119
chr4	26738	27526	4.235414469
chr4	28474	29211	4.894696344
chr4	29923	30399	3.751794085
chr4	31475	36890	8.155889131
chr4	38541	39982	8.155889131
chr4	41214	42299	8.155889131
chr4	42955	43953	4.176249373
chr4	44930	45397	4.318318589
chr4	46337	47647	5.313671718
chr4	48148	49722	7.850380852
chr4	51993	53480	6.905197419
chr4	54367	56496	7.686312947
chr4	57553	58101	6.341920617
chr4	59673	60563	7.744299493
chr4	62893	63957	6.485991793
chr4	65613	66401	5.707881157
chr4	67667	68539	6.243323917
chr4	70648	75015	5.845179338
chr4	75691	76494	5.016500083
chr4	77170	78612	5.621116025
chr4	79417	85305	6.768387885
chr4	86703	88058	5.072904371
chr4	89291	90073	5.362851151
chr4	90667	92586	6.746125285
chr4	94274	95587	6.746125285
chr4	96830	99361	5.57849861
chr4	99967	100521	5.142838967
chr4	102105	108500	8.003112379
chr4	109562	110134	3.67233121
chr4	111213	112274	3.03739578
chr4	161131	161609	4.407895032
chr4	161761	161986	4.407895032
chr4	120659	121441	6.500732261
chr4	123826	124857	4.849887693
chr4	126732	129659	5.775305961
chr4	132074	133159	5.878505559
chr4	134528	146977	6.898543573
chr4	150210	154172	6.555855383
chr4	157013	159673	7.246170732
chr4	163581	165035	4.856903983
chr4	165779	168349	3.901921181
chr4	169486	170052	10.26259681
chr4	171061	171633	4.408056964
chr4	173579	174553	4.68370321
chr4	175625	176959	6.856015745
chr4	177306	183590	6.856015745
chr4	183963	184703	6.856015745
chr4	188150	192745	7.039304243
chr4	193954	197127	5.10522628
chr4	198849	199919	4.436576721
chr4	202070	203860	4.425994942
chr4	205397	210037	6.058402844
chr4	213542	214420	5.122916323
chr4	214984	219714	5.784455424
chr4	221648	222550	6.148662685
chr4	224036	224839	4.152614206
chr4	225436	234594	6.201634701
chr4	236180	236683	2.40172044
chr4	237508	241335	5.800799728
chr4	243077	243329	8.452770828
chr4	244633	245327	8.452770828
chr4	246033	246635	7.625860598
chr4	248155	249135	5.736339373
chr4	250688	252760	5.498703548
chr4	252852	254366	5.498703548
chr4	255267	255713	5.438954783
chr4	257365	257823	5.611938306
chr4	259067	259513	5.417170014
chr4	261446	263686	6.562556436
chr4	264782	268012	4.969575058
chr4	268993	271377	4.132539494
chr4	273931	275985	6.593110887
chr4	277040	278962	5.013277129
chr4	279709	282171	4.71514283
chr4	283036	283677	9.907484819
chr4	284874	285278	9.228376013
chr4	286715	287233	8.744611655
chr4	288007	289740	5.974235066
chr4	290800	294312	5.302678837
chr4	295678	296595	5.265445298
chr4	297731	299746	6.944803549
chr4	300472	301677	4.748480856
chr4	302684	306925	6.01734568
chr4	307918	310557	5.145625471
chr4	312001	313182	5.332723435
chr4	313921	314616	4.006694031
chr4	317223	320855	6.227770179
chr4	323180	326986	6.255973047
chr4	329684	330448	4.683965862
chr4	331745	333535	6.817272457
chr4	336088	336534	4.476284645
chr4	338386	339867	4.704273675
chr4	340982	341623	9.556359828
chr4	342498	343121	4.193514901
chr4	343790	345349	5.423269358
chr4	346024	347424	4.245781922
chr4	347757	351473	5.118377794
chr4	352121	352999	6.586379724
chr4	353994	357518	4.851353423
chr4	358999	359673	4.675066607
chr4	360971	361555	7.134529908
chr4	363457	363876	6.278600673
chr4	363920	364423	6.278600673
chr4	366416	367483	5.570288891
chr4	368587	370017	3.81628229
chr4	370504	370893	3.266895991
chr4	371726	374395	5.70571819
chr4	375117	379526	5.681448428
chr4	381047	381376	3.29377564
chr4	381953	384826	5.949821005
chr4	386851	389040	6.204360113
chr4	389911	390843	4.787633377
chr4	391629	392531	5.07988624
chr4	393181	393687	3.232028015
chr4	395952	396996	7.175972419
chr4	398064	398530	7.175972419
chr4	406995	407930	6.185244395
chr4	410748	417908	6.613845237
chr4	419188	420759	5.754744668
chr4	421550	422113	4.504691091
chr4	426922	428028	6.945838765
chr4	429011	432196	6.883826415
chr4	433365	434495	8.493103918
chr5	6102	8849	6.789773225
chr5	9308	9727	6.546019966
chr5	10249	10836	7.859928336
chr5	11936	13681	8.297225463
chr5	14865	17390	5.712212512
chr5	18571	21072	6.589650639
chr5	23156	23431	4.683735361
chr5	24381	24986	5.35912431
chr5	26352	26891	7.884685738
chr5	28713	30626	7.408024921
chr5	33766	34137	4.357994982
chr5	35160	36176	4.848707404
chr5	37787	39085	5.958133993
chr5	41684	43738	6.436347963
chr5	45050	46378	4.622070229
chr5	47411	48946	3.756554372
chr5	49551	51839	4.840336388
chr5	53280	54695	6.778131993
chr5	56277	57392	5.195174449
chr5	58254	60617	4.757540812
chr5	61789	64937	5.641316099
chr5	65170	65260	5.641316099
chr5	65335	66213	5.641316099
chr5	67089	69740	6.164950343
chr5	74223	76118	5.111933767
chr5	77656	81219	6.647230136
chr5	82575	84392	6.405998505
chr5	84493	85284	6.405998505
chr5	85345	86772	6.405998505
chr5	88451	88744	3.815506547
chr5	89426	90598	5.498833736
chr5	91610	92563	5.500443209
chr5	92908	92986	1.950614954
chr5	93030	93361	1.950614954
chr5	93951	94625	5.039802644
chr5	96383	96895	4.202537007
chr5	98359	99816	4.664836806
chr5	100686	102647	4.819235065
chr5	103402	103944	4.635126575
chr5	105361	108369	5.332874253
chr5	109120	110235	6.441834112
chr5	113773	115248	9.417509048
chr5	116237	118102	4.635907999
chr5	118888	119871	4.712011714
chr5	121570	123841	9.447754968
chr5	124160	124233	9.447754968
chr5	131908	134283	8.047307455
chr5	136061	139702	5.922518675
chr5	140702	143443	4.661995876
chr5	144314	144649	4.702218236
chr5	145678	146331	3.311724629
chr5	147338	149368	3.472273907
chr5	149872	152448	4.44826742
chr5	153654	154244	6.521479816
chr5	155138	157021	7.110225464
chr5	158408	159136	4.68112049
chr5	160060	161781	6.75241683
chr5	166586	167089	4.169154943
chr5	168794	170518	7.477606456
chr5	172501	174225	7.449806648
chr5	176736	177758	4.409872746
chr5	178598	184762	6.204323216
chr5	185318	185731	4.284383802
chr5	187021	188025	4.737365076
chr5	189374	190633	3.826469262
chr5	193123	194355	6.920324321
chr5	195588	197819	6.60244555
chr5	200410	203397	4.764502654
chr5	204044	206776	4.762091407
chr5	207530	210439	4.505210602
chr5	211421	212212	3.744211281
chr5	212422	214062	3.744211281
chr5	215003	218671	5.630316654
chr5	219550	225330	5.938079169
chr5	226550	229237	6.461250427
chr5	231631	232578	3.410703237
chr5	233633	239893	6.133643691
chr5	239941	240102	6.133643691
chr5	240176	240883	6.133643691
chr5	242707	243624	4.607909291
chr5	244806	249471	5.049600562
chr5	249518	250789	5.049600562
chr5	250931	252400	5.049600562
chr5	252443	252610	5.049600562
chr5	252650	252825	5.049600562
chr5	255069	256280	8.38204936
chr5	256301	260329	8.38204936
chr5	262590	263056	8.38204936
chr5	263194	266252	8.38204936
chr5	266310	266439	8.38204936
chr5	266503	266803	8.38204936
chr5	269050	273228	6.264019697
chr5	274700	276877	6.573131303
chr5	278503	279606	4.440386062
chr5	280888	281860	7.083018489
chr5	281932	283289	7.083018489
chr5	284112	288638	7.690498378
chr5	290393	293740	5.984129087
chr5	293800	293973	5.984129087
chr5	293990	294460	5.984129087
chr5	295912	296355	4.988037889
chr5	298253	299296	4.06049995
chr5	299895	301184	5.219684537
chr5	301986	302477	3.874321972
chr5	303350	306136	6.270879178
chr5	307018	307938	5.266814278
chr5	310942	314913	8.714422917
chr5	316296	318215	4.812829967
chr5	319381	319848	3.858647425
chr5	320880	324929	6.121838695
chr5	325126	325251	6.121838695
chr5	325392	326387	6.121838695
chr5	327414	328019	5.540294047
chr5	329412	335360	5.949366892
chr5	336495	337355	6.358698825
chr5	339025	342249	6.182828971
chr5	342853	346077	6.926093111
chr5	347813	349204	6.209131251
chr5	350234	353974	6.570003139
chr5	355140	357866	6.148191486
chr5	358835	360874	9.362352927
chr5	386103	387434	7.70138963
chr5	388370	389806	7.122888764
chr5	390580	392034	6.303752989
chr5	392808	394331	6.244054905
chr5	395768	397948	5.480915619
chr5	400600	402324	5.709923202
chr5	405162	405899	5.475753852
chr5	409351	413088	8.841578751
chr5	414653	415417	3.656329469
chr5	416282	416623	3.658397916
chr5	443815	444669	9.04154454
chr5	126715	128439	9.439674115
chr5	368932	370044	4.823440425
chr5	371028	372473	5.605764779
chr5	373240	373509	2.493579734
chr5	375355	375666	5.617095616
chr5	376579	378420	4.489465269
chr5	379374	382133	5.864384541
chr5	382645	382998	6.398316275
chr5	383570	384643	7.030809844
chr5	419561	421072	3.858923557
chr5	421803	422876	4.379797643
chr5	423548	426115	4.316769667
chr5	427017	427511	4.7977877
chr5	428387	429136	5.277217308
chr5	429731	431302	6.038065563
chr5	432637	438510	7.011321701
chr5	438867	439265	5.313370456
chr5	440224	441414	7.427184948
chr6	1723	2258	3.008861104
chr6	3075	3153	3.008861104
chr6	125921	127060	10.70097542
chr6	127935	129059	6.359578019
chr6	130036	132598	6.898200335
chr6	133216	133514	6.898200335
chr6	136031	136774	9.641039093
chr6	138131	138700	5.267943966
chr6	139502	140245	9.534162758
chr6	142412	144094	5.433415341
chr6	145682	147757	6.159261934
chr6	148997	151978	5.892807914
chr6	153809	155176	6.395435483
chr6	157443	161195	5.838705607
chr6	162427	165879	5.212020146
chr6	166680	167624	4.789132942
chr6	168456	170261	5.176104496
chr6	171469	173106	3.97683619
chr6	173880	175877	5.21190223
chr6	177572	183046	5.690356522
chr6	183699	184595	4.729433241
chr6	185938	188508	5.626345556
chr6	189420	194603	6.267134353
chr6	195586	196395	9.821384998
chr6	197783	198220	10.30697591
chr6	198677	199114	10.31638596
chr6	200626	205173	5.679827613
chr6	205801	210108	5.48785836
chr6	211096	212256	5.460832649
chr6	213816	216848	6.770139599
chr6	220199	226562	6.724641706
chr6	226672	226766	6.724641706
chr6	226808	228016	6.724641706
chr6	228193	229515	6.724641706
chr6	230663	233671	5.488297378
chr6	235641	237545	5.507022905
chr6	240158	244156	7.091084221
chr6	245561	246292	4.568867172
chr6	246968	248185	4.643851762
chr6	249327	257030	6.766125728
chr6	258086	260293	6.66401161
chr6	268629	272320	7.064298304
chr6	272392	272479	7.064298304
chr6	272565	273899	7.064298304
chr6	275214	276230	6.437572604
chr6	278449	281172	3.939704937
chr6	282065	284173	4.739130281
chr6	285276	288803	5.777744653
chr6	292714	297827	7.402852593
chr6	297899	297950	7.402852593
chr6	298138	298473	7.402852593
chr6	300538	300981	3.162325798
chr6	302704	305799	4.307535588
chr6	306634	311295	5.753319802
chr6	313194	320073	7.527143822
chr6	320160	320224	7.527143822
chr6	320373	322448	7.527143822
chr6	322493	322621	7.527143822
chr6	322974	323858	7.527143822
chr6	324610	325809	4.305838891
chr6	328108	332319	5.790124586
chr6	333769	334506	5.699337432
chr6	335699	341948	6.647898765
chr6	342002	342114	6.647898765
chr6	342155	342476	6.647898765
chr6	342538	342587	6.647898765
chr6	342620	342909	6.647898765
chr6	342963	343125	6.647898765
chr6	343193	344472	6.647898765
chr6	344663	344717	6.647898765
chr6	344756	345199	6.647898765
chr6	345339	345449	6.647898765
chr6	345584	346276	6.647898765
chr6	347396	348958	4.981229794
chr6	350391	351713	5.617155694
chr6	353262	354491	6.677260528
chr6	356620	358884	4.89268068
chr6	359905	365280	5.277102676
chr6	366173	366838	3.739964264
chr6	367462	368769	4.810575571
chr6	369644	371836	5.355407568
chr6	373371	375329	4.007250478
chr6	376352	378364	6.835616117
chr6	379627	380298	8.607643468
chr6	381184	386172	6.686838369
chr6	387302	390412	7.402181652
chr6	392765	396412	6.738903577
chr6	397345	397812	3.441808381
chr6	398364	399848	4.149758072
chr6	400779	403058	5.603347101
chr6	403698	404390	3.842236004
chr6	405670	408339	5.134516765
chr6	408810	410978	5.996142685
chr6	411938	412339	4.866888698
chr6	414413	415417	3.351352015
chr6	416703	417548	3.985458791
chr6	419324	419998	4.901768244
chr6	420776	422566	4.30402287
chr6	423711	424619	4.142285533
chr6	426748	430026	7.057933502
chr6	432516	433319	3.911021693
chr6	434081	435067	4.327950468
chr6	435222	437744	4.875756021
chr6	438181	439746	4.515125404
chr6	440306	443602	5.921903434
chr6	444283	444690	5.473905865
chr6	445875	447242	8.434822189
chr6	448196	448639	4.747216405
chr6	449292	449633	9.38054526
chr6	451672	452856	3.273286156
chr6	453459	455216	5.035074893
chr6	456886	459258	6.157891649
chr6	460382	461200	4.412216293
chr6	461831	463318	5.091449902
chr6	464372	464674	3.444409626
chr6	465363	466079	6.061040694
chr6	466682	467206	4.188081847
chr6	1	301	10.03703253
chr6	4008	4310	10.33846746
chr6	6423	8030	7.033934697
chr6	13675	15696	9.016685153
chr6	16561	17226	6.268670739
chr6	23004	24449	6.684711392
chr6	27998	28963	6.386298187
chr6	30591	31967	5.056856544
chr6	35714	37687	6.662445265
chr6	41067	43058	6.194299804
chr6	44004	45149	6.657512383
chr6	46467	48206	6.657512383
chr6	49552	50115	6.867707637
chr6	51061	51621	4.284558392
chr6	53131	53874	5.737050374
chr6	54627	54956	3.847724259
chr6	55552	56916	4.856764556
chr6	58229	58654	3.465988404
chr6	59186	61345	5.144400744
chr6	62730	64907	4.547377472
chr6	66361	67836	5.117193699
chr6	70353	72380	5.185149438
chr6	73201	74061	5.415515911
chr6	74714	75355	3.856455194
chr6	76419	79232	5.796301069
chr6	80493	81329	5.462888236
chr6	82869	87452	7.044805747
chr6	89836	90774	5.599395904
chr6	91454	94009	5.683842734
chr6	94778	95458	5.038971289
chr6	96197	97345	5.313080012
chr6	99193	99702	5.024674259
chr6	102947	104980	6.584941189
chr6	105868	108981	6.674841635
chr6	110317	113874	5.808158211
chr6	114612	117329	6.899325569
chr6	118096	119187	7.363654886
chr6	119921	121276	7.841402093
chr6	468614	470569	10.97646624
chr6	472294	473180	6.465528327
chr6	474421	474877	6.465528327
chr6	476052	476423	8.287480565
chr7	10786	11595	6.281589088
chr7	12167	12924	8.163465146
chr7	14618	15236	8.163465146
chr7	15859	16809	3.390984447
chr7	17405	20290	6.91565543
chr7	21970	22746	7.125463967
chr7	23832	24410	5.134310907
chr7	25313	27184	7.575170394
chr7	28743	32501	6.928839158
chr7	35076	38165	6.517588048
chr7	39581	39930	6.517588048
chr7	40779	42021	6.517588048
chr7	43497	50102	6.349689832
chr7	50821	52632	3.307429163
chr7	53178	54236	3.740049923
chr7	54888	56678	4.554248213
chr7	56849	57175	2.307898591
chr7	206603	207082	5.050743068
chr7	207785	221899	8.426335883
chr7	223386	224576	6.239482486
chr7	226773	227567	10.39114689
chr7	228857	229651	10.10466765
chr7	230883	231580	6.821305843
chr7	234796	235855	6.821305843
chr7	238107	241076	5.909716246
chr7	246406	252099	8.010692101
chr7	253446	254123	5.4550566
chr7	255899	257305	5.190012244
chr7	258370	262455	6.870063507
chr7	263648	268450	6.85657298
chr7	269595	271322	6.060988511
chr7	272801	273388	5.11177725
chr7	274267	275034	3.872040353
chr7	275615	277525	5.965162444
chr7	279070	282384	7.245313354
chr7	284178	285185	5.173473637
chr7	286625	289969	7.712898219
chr7	293951	295513	5.275857495
chr7	296862	297371	5.165070465
chr7	298575	299144	9.351641955
chr7	301003	306624	5.805112239
chr7	307930	310668	5.5676169
chr7	311507	312070	3.365726444
chr7	313558	315300	4.302816586
chr7	317216	320995	5.9751416
chr7	321922	324348	5.720585777
chr7	324981	336413	7.434532545
chr7	337747	338078	6.065599517
chr7	340252	341389	6.065599517
chr7	342545	346471	7.107563224
chr7	349386	351170	5.901055583
chr7	353594	355219	4.644400137
chr7	355918	356886	4.752429102
chr7	358332	360350	5.256748714
chr7	364793	366586	7.727917703
chr7	370839	372563	7.49968103
chr7	372656	378034	7.49968103
chr7	384666	386303	7.087848615
chr7	386336	386803	7.087848615
chr7	386842	390612	7.087848615
chr7	393963	395228	6.421337314
chr7	395302	398204	6.421337314
chr7	398267	399101	6.421337314
chr7	402775	403323	5.030842648
chr7	413260	417687	6.857371255
chr7	418861	419147	5.792102925
chr7	419471	420560	5.792102925
chr7	425883	429965	7.537967194
chr7	435839	437719	7.861363151
chr7	441389	442279	5.181444074
chr7	445759	451263	6.551020038
chr7	451900	452913	5.146212262
chr7	454232	461839	6.568636904
chr7	462444	463436	5.917816501
chr7	465613	472917	6.771776937
chr7	475491	482231	6.294257109
chr7	482320	482430	6.294257109
chr7	482517	482846	6.294257109
chr7	484348	487953	6.562616582
chr7	489564	492143	5.732141752
chr7	493058	493414	3.515121614
chr7	494773	495798	10.49760947
chr7	498318	499418	7.036703796
chr7	500990	501478	5.031915281
chr7	502495	506520	6.088441121
chr7	507516	507863	4.21466716
chr7	509442	510008	3.530784913
chr7	510838	512172	4.748476213
chr7	513231	516965	7.182468762
chr7	518856	519194	3.732718026
chr7	520123	521667	4.31021283
chr7	522193	523530	4.151439328
chr7	525067	527583	6.286430037
chr7	529101	530354	5.616464169
chr7	531855	532772	5.302035913
chr7	533446	533757	6.408598937
chr7	534295	534615	6.408598937
chr7	535938	537026	5.033905808
chr7	538689	539726	5.737063951
chr7	541768	543498	5.783744215
chr7	544340	544870	5.225824922
chr7	547834	555441	7.621382581
chr7	556214	557689	10.80833771
chr7	563590	565674	6.643242298
chr7	3405	5582	5.627007059
chr7	60315	62858	5.79908161
chr7	64065	64423	5.198162685
chr7	66120	69300	5.198162685
chr7	70063	76374	6.11509075
chr7	78127	79308	5.301751743
chr7	80444	82702	6.032513984
chr7	83328	84086	3.199382116
chr7	84873	86780	5.1388497
chr7	87403	87762	4.387837021
chr7	88424	90205	4.606118424
chr7	91560	97274	6.677457283
chr7	100010	101113	6.562466325
chr7	103188	104381	6.23019636
chr7	104997	119699	7.593193797
chr7	119760	123644	7.593193797
chr7	126806	127570	5.088788474
chr7	129122	131719	5.768297912
chr7	132993	134567	5.743346425
chr7	134672	135385	5.743346425
chr7	136797	140228	5.29246805
chr7	141030	143510	5.907814975
chr7	144540	146858	4.973987607
chr7	148018	148291	7.506472762
chr7	152690	154185	7.506472762
chr7	154990	156963	5.667642629
chr7	158168	158491	3.860888166
chr7	161642	164401	5.197180694
chr7	166025	176716	7.065792741
chr7	177496	180183	5.35933694
chr7	181208	183043	6.628845343
chr7	187347	188885	5.151815645
chr7	191095	191424	5.2171701
chr7	192541	193014	4.977712146
chr7	194129	194602	4.609303341
chr7	195145	195645	4.341059347
chr7	196492	198051	6.913339862
chr7	198570	200912	6.36622474
chr7	568183	568606	0.776169812
chr8	170804	171424	5.551472135
chr8	171825	172379	5.619845268
chr8	172772	173878	6.786467625
chr8	174460	175578	8.424490989
chr8	178094	178897	5.94254742
chr8	181973	184003	6.940224892
chr8	187083	188321	3.388129787
chr8	197757	198652	7.310963865
chr8	200431	201166	7.310963865
chr8	203927	204889	6.186216527
chr8	205935	208049	4.785163915
chr8	210696	213302	6.4426508
chr8	215434	217038	4.553435308
chr8	218349	219392	7.038439566
chr8	222176	223639	4.985971322
chr8	225515	227590	7.990701374
chr8	231565	235872	6.24407936
chr8	239528	241135	5.16017769
chr8	242249	244075	5.44016669
chr8	244893	246230	5.323103776
chr8	250285	252018	3.681562787
chr8	259179	259850	4.657920768
